"folder","doi","title","journal","year","authors","repo"
"10.1017S0003055403000534","https://doi.org/10.1017/S0003055403000534","Ethnicity, Insurgency, and Civil War","American Political Science Review",2003,"James D. Fearon, David D. Laitin","replicate-anything/rep-10.1017-S0003055403000534"
"10.1038_s41591-021-01454-y","https://doi.org/10.1038/s41591-021-01454-y","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","Nature Medicine",2021,"Julio S. Solís Arce, Shana S. Warren, Niccolò F. Meriggi, Alexandra Scacco, Nina McMurry, Maarten Voors, Georgiy Syunyaev, Amyn Abdul Malik, Samya Aboutajdine, Opeyemi Adeojo, Deborah Anigo, Alex Armand, Saher Asad, Martin Atyera, Britta Augsburg, Manisha Awasthi, Gloria Eden Ayesiga, Antonella Bancalari, Martina Björkman Nyqvist, Ekaterina Borisova, Constantin Manuel Bosancianu, Magarita Rosa Cabra García, Ali Cheema, Elliott Collins, Filippo Cuccaro, Ahsan Zia Farooqi, Tatheer Fatima, Mattia Fracchia, Mery Len Galindo Soria, Andrea Guariso, Ali Hasanain, Sofía Jaramillo, Sellu Kallon, Anthony Kamwesigye, Arjun Kharel, Sarah Kreps, Madison Levine, Rebecca Littman, Mohammad Malik, Gisele Manirabaruta, Jean Léodomir Habarimana Mfura, Fatoma Momoh, Alberto Mucauque, Imamo Mussa, Jean Aime Nsabimana, Isaac Obara, María Juliana Otálora, Béchir Wendemi Ouédraogo, Touba Bakary Pare, Melina R. Platas, Laura Polanco, Javaeria Ashraf Qureshi, Mariam Raheem, Vasudha Ramakrishna, Ismail Rendrá, Taimur Shah, Sarene Eyla Shaked, Jacob N. Shapiro, Jakob Svensson, Ahsan Tariq, Achille Mignondo Tchibozo, Hamid Ali Tiwana, Bhartendu Trivedi, Corey Vernot, Pedro C. Vicente, Laurin B. Weissinger, Basit Zafar, Baobao Zhang, Dean Karlan, Michael Callen, Matthieu Teachout, Macartan Humphreys, Ahmed Mushfiq Mobarak, Saad B. Omer","replicate-anything/registry"
"10.1177_00491241211036161","https://doi.org/10.1177/00491241211036161","Bounding Causes of Effects With Mediators","Sociological Methods &amp; Research",2022,"Macartan Humphreys, Philip Dawid, Monica Musio","replicate-anything/rep-10.1177-00491241211036161"
"10.1371_journal.pone.0278337","https://doi.org/10.1371/journal.pone.0278337","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","PLOS ONE",2022,"Ferdinand Geissler, Felix Hartmann, Macartan Humphreys, Heike Klüver, Johannes Giesecke","replicate-anything/rep-10.1371_journal.pone.0278337"
"10.5555_cahw","https://doi.org/10.5555/cahw","Selection and Incentives in Local Service Provision: Theory and Evidence from Sierra Leone","",2026,"Maarten Voors, Macartan Humphreys, Salif Jaiteh, Niccolò F. Meriggi, Carlo Prato, Peter van der Windt","replicate-anything/registry"
