group,ID,perspective_fed_indian,perspective_fed_german,vaccinated,party,migration_background,run1_exp8,cash,doses,run2_exp8,exp7_money2,exp7_doses2,vignr,round,exp7_money1,exp7_doses1,trading_importance,risk,deal,id,others_number,others_giving,others_average,risk_factor,trading_factor,others_number_norm,others_giving_norm,cash_billions,cash_billions_log,solidarity_behaviour,solidarity_attitude,treatment_video,c_0031_w1,c_0031_w2,c_0031_w3,c_0032_w1,c_0032_w2,vignette3,vignette4,vignette5,vignette6,vignette1,vignette2,vignette3_w4,vignette4_w4,conjoint_choice1_exp3,conjoint_rating1_exp3,conjoint_rating2_exp3,conjoint_choice2_exp3,conjoint_rating3_exp3,conjoint_rating4_exp3,conjoint_choice3_exp3,conjoint_rating5_exp3,conjoint_rating6_exp3,conjoint_choice1_exp7,conjoint_rating1_exp7,conjoint_rating2_exp7,conjoint_choice2_exp7,conjoint_rating3_exp7,conjoint_rating4_exp7
4,5691338845380,1,2,1,No party,0,9,0.01,100,7,NA,NA,7,2,0.01,100,-0.49966745843230403,0.500332541567696,20 give 20 bn,5691338845380,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,10,2.3978952727983707,0.4,0,0,NA,112,NA,NA,159,185,144,97,60,NA,NA,NA,NA,2,5,5,2,5,7,2,6,7,NA,NA,NA,NA,NA,NA
4,5691404691270,4,4,1,No party,1,2,0.002,130,1,NA,NA,1,2,0.001,130,-0.49966745843230403,-0.49966745843230403,No deal,5691404691270,0,0,0,Low,Low,-2.401330166270784,-2.401710213776722,2,1.0986122886681098,1,0,1,NA,100,NA,NA,17,105,148,106,123,NA,NA,NA,NA,2,3,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
5,5691421910880,2,7,0,AFD,1,10,0.002,40,11,NA,NA,11,2,0.001,30,0.500332541567696,-0.49966745843230403,No deal,5691421910880,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5691522050955,7,3,1,No party,0,4,0.01,130,3,NA,NA,3,2,0.01,130,-0.49966745843230403,-0.49966745843230403,40 give 20b,5691522050955,4,2,0.5,Low,Low,1.598669833729216,-0.4017102137767221,10,2.3978952727983707,1,1,1,NA,173,NA,NA,16,83,1,121,52,NA,NA,NA,NA,1,8,8,1,8,8,1,8,8,NA,NA,NA,NA,NA,NA
4,5691693429585,5,7,1,Left,1,2,0.001,100,11,NA,NA,11,2,0.001,100,0.500332541567696,-0.49966745843230403,No deal,5691693429585,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,0,1,1,NA,99,NA,NA,100,31,104,93,9,NA,NA,NA,NA,2,5,5,2,5,6,1,6,5,NA,NA,NA,NA,NA,NA
4,5691709264770,3,6,1,CDU.CSU,0,8,5e-4,50,19,NA,NA,19,2,0,0,0.500332541567696,0.500332541567696,20 give 40 bn,5691709264770,2,4,2,High,High,-0.401330166270784,1.5982897862232779,0.5,0.4054651081081644,0.4,1,0,NA,165,NA,NA,126,172,177,47,127,NA,NA,NA,NA,1,5,3,2,3,5,1,5,2,NA,NA,NA,NA,NA,NA
4,5691762044325,2,6,0,No party,0,2,5e-4,40,20,NA,NA,20,2,5e-4,20,0.500332541567696,0.500332541567696,40 give 40 bn,5691762044325,4,4,1,High,High,1.598669833729216,1.5982897862232779,0.5,0.4054651081081644,0.6,0,1,NA,66,NA,NA,176,114,29,143,180,NA,NA,NA,NA,1,6,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
4,5691845096640,7,1,0,No party,1,19,0.001,200,18,NA,NA,18,2,0.001,200,0.500332541567696,0.500332541567696,40 give 20b,5691845096640,4,2,0.5,High,High,1.598669833729216,-0.4017102137767221,1,0.6931471805599453,0,0,0,NA,98,NA,NA,45,140,75,153,123,NA,NA,NA,NA,2,0,10,1,10,5,1,5,5,NA,NA,NA,NA,NA,NA
4,5691883346325,7,1,1,FDP,0,13,0.002,130,4,NA,NA,4,2,0.002,150,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5691883346325,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,2,1.0986122886681098,1,1,1,NA,80,NA,NA,18,84,155,88,115,NA,NA,NA,NA,1,10,5,1,10,5,2,5,10,NA,NA,NA,NA,NA,NA
4,5691885930585,5,6,0,CDU.CSU,0,17,0.001,20,14,NA,NA,14,2,0.001,20,0.500332541567696,-0.49966745843230403,20 give 40 bn,5691885930585,2,4,2,Low,High,-0.401330166270784,1.5982897862232779,1,0.6931471805599453,0.4,0,1,NA,107,NA,NA,168,27,73,191,65,NA,NA,NA,NA,1,8,6,2,6,9,1,8,7,NA,NA,NA,NA,NA,NA
4,5692038876585,3,5,1,FDP,0,3,1e-5,1,11,NA,NA,11,2,1e-5,1,0.500332541567696,-0.49966745843230403,No deal,5692038876585,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,0.01,0.009950330853168092,0.4,1,1,NA,157,NA,NA,91,54,119,1,22,NA,NA,NA,NA,1,5,5,1,5,5,2,5,10,NA,NA,NA,NA,NA,NA
5,5692056043455,5,3,0,AFD,0,10,0.001,10,17,NA,NA,17,2,5e-4,5,0.500332541567696,0.500332541567696,20 give 20 bn,5692056043455,2,2,1,High,High,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5692057427880,6,2,1,AFD,1,5,0.022,1,9,NA,NA,9,2,0.001,23,-0.49966745843230403,0.500332541567696,20 give 40 bn,5692057427880,2,4,2,High,Low,-0.401330166270784,1.5982897862232779,22,3.1354942159291497,0.2,1,1,NA,24,NA,NA,95,161,73,76,118,NA,NA,NA,NA,2,2,8,1,9,3,2,2,8,NA,NA,NA,NA,NA,NA
4,5692089085065,1,7,1,CDU.CSU,0,15,0.04,3,5,NA,NA,5,2,0.06,1,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5692089085065,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,40,3.713572066704308,0,0,0,NA,46,NA,NA,54,1,28,101,69,NA,NA,NA,NA,2,4,6,1,3,2,2,3,5,NA,NA,NA,NA,NA,NA
4,5692111394085,6,1,0,SPD,0,19,0,0,5,NA,NA,5,2,0,0,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5692111394085,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,0,0,0.4,0,1,NA,3,NA,NA,19,14,2,67,27,NA,NA,NA,NA,2,5,5,2,2,8,1,7,0,NA,NA,NA,NA,NA,NA
4,5692147059510,4,7,1,No party,0,13,0.001,1,6,NA,NA,6,2,0.001,1,-0.49966745843230403,0.500332541567696,No deal,5692147059510,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,0,0,0,NA,118,NA,NA,161,89,112,73,24,NA,NA,NA,NA,1,8,1,2,2,9,2,2,8,NA,NA,NA,NA,NA,NA
4,5692153625640,7,1,1,CDU.CSU,0,8,0.001,50,16,NA,NA,16,2,0.001,50,0.500332541567696,0.500332541567696,No deal,5692153625640,0,0,0,High,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,1,1,1,NA,166,NA,NA,44,91,49,87,178,NA,NA,NA,NA,2,7,7,1,6,6,2,6,6,NA,NA,NA,NA,NA,NA
4,5692204994400,5,4,1,Greens,0,7,0.006,90,16,NA,NA,16,2,0.004,80,0.500332541567696,0.500332541567696,No deal,5692204994400,0,0,0,High,High,-2.401330166270784,-2.401710213776722,6,1.9459101490553132,0.4,1,1,NA,90,NA,NA,117,110,181,71,45,NA,NA,NA,NA,1,9,8,1,8,7,1,8,4,NA,NA,NA,NA,NA,NA
4,5692220842770,7,1,1,SPD,1,2,0.03,10,4,NA,NA,4,2,0.02,10,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5692220842770,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,30,3.4339872044851463,0.8,1,1,NA,141,NA,NA,52,183,172,126,84,NA,NA,NA,NA,1,8,2,1,8,2,2,1,8,NA,NA,NA,NA,NA,NA
