group,ID,perspective_fed_indian,perspective_fed_german,vaccinated,party,migration_background,run1_exp8,cash,doses,run2_exp8,exp7_money2,exp7_doses2,vignr,round,exp7_money1,exp7_doses1,trading_importance,risk,deal,id,others_number,others_giving,others_average,risk_factor,trading_factor,others_number_norm,others_giving_norm,cash_billions,cash_billions_log,solidarity_behaviour,solidarity_attitude,treatment_video,c_0031_w1,c_0031_w2,c_0031_w3,c_0032_w1,c_0032_w2,vignette3,vignette4,vignette5,vignette6,vignette1,vignette2,vignette3_w4,vignette4_w4,conjoint_choice1_exp3,conjoint_rating1_exp3,conjoint_rating2_exp3,conjoint_choice2_exp3,conjoint_rating3_exp3,conjoint_rating4_exp3,conjoint_choice3_exp3,conjoint_rating5_exp3,conjoint_rating6_exp3,conjoint_choice1_exp7,conjoint_rating1_exp7,conjoint_rating2_exp7,conjoint_choice2_exp7,conjoint_rating3_exp7,conjoint_rating4_exp7
5,5274044143380,5,3,1,CDU.CSU,0,16,0.001,150,3,5e-4,130,16,1,NA,NA,0.500332541567696,0.500332541567696,No deal,5274044143380,0,0,0,High,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274063815400,4,5,1,No party,0,20,0.002,130,17,0.0015,130,20,1,NA,NA,0.500332541567696,0.500332541567696,40 give 40 bn,5274063815400,4,4,1,High,High,1.598669833729216,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274491035770,7,1,0,FDP,1,6,0.001,130,13,0.001,130,6,1,NA,NA,-0.49966745843230403,0.500332541567696,No deal,5274491035770,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274491075325,4,7,1,SPD,1,7,1e-4,100,5,0,0,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5274491075325,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,0.1,0.09531017980432493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274592586640,6,2,1,SPD,0,16,5e-4,130,20,0.002,130,16,1,NA,NA,0.500332541567696,0.500332541567696,No deal,5274592586640,0,0,0,High,High,-2.401330166270784,-2.401710213776722,0.5,0.4054651081081644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274705924900,5,6,0,SPD,0,4,0.01,10,18,0.001,50,4,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5274705924900,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275112102010,7,7,1,No party,0,4,1e-4,100,16,0.02,200,4,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5275112102010,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,0.1,0.09531017980432493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275755556380,4,4,1,Greens,1,19,0.02,50,1,0.015,20,19,1,NA,NA,0.500332541567696,0.500332541567696,20 give 40 bn,5275755556380,2,4,2,High,High,-0.401330166270784,1.5982897862232779,20,3.044522437723423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275766025270,6,6,1,SPD,1,10,0.01,70,13,0.01,70,10,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 40 bn,5275766025270,4,4,1,High,Low,1.598669833729216,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275779276195,7,1,1,FDP,1,7,0.001,40,12,0.05,20,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5275779276195,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275806938325,1,7,0,No party,0,12,0,0,1,0,0,12,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 20 bn,5275806938325,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275816207380,5,2,0,AFD,0,20,0.002,4,8,0.001,2,20,1,NA,NA,0.500332541567696,0.500332541567696,40 give 40 bn,5275816207380,4,4,1,High,High,1.598669833729216,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275893906585,6,2,0,SPD,0,3,0.02,30,4,0.03,20,3,1,NA,NA,-0.49966745843230403,-0.49966745843230403,40 give 20b,5275893906585,4,2,0.5,Low,Low,1.598669833729216,-0.4017102137767221,20,3.044522437723423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275900604565,7,3,1,SPD,0,15,0.002,130,4,0.002,130,15,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 40 bn,5275900604565,4,4,1,Low,High,1.598669833729216,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5276036396880,1,2,1,Greens,0,19,0.002,50,17,0.001,50,19,1,NA,NA,0.500332541567696,0.500332541567696,20 give 40 bn,5276036396880,2,4,2,High,High,-0.401330166270784,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5276160296325,7,4,1,CDU.CSU,1,17,0.005,100,8,0.005,100,17,1,NA,NA,0.500332541567696,0.500332541567696,20 give 20 bn,5276160296325,2,2,1,High,High,-0.401330166270784,-0.4017102137767221,5,1.791759469228055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5276300070510,3,6,1,No party,0,14,0.001,100,15,0.001,100,14,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 40 bn,5276300070510,2,4,2,Low,High,-0.401330166270784,1.5982897862232779,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5276417403825,1,7,1,CDU.CSU,1,15,0.001,1,4,0.01,10,15,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 40 bn,5276417403825,4,4,1,Low,High,1.598669833729216,1.5982897862232779,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5276826191565,4,6,1,FDP,1,5,0.01,130,19,0.01,130,5,1,NA,NA,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5276826191565,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5276943498510,7,2,1,Greens,1,19,0.01,150,3,0.005,130,19,1,NA,NA,0.500332541567696,0.500332541567696,20 give 40 bn,5276943498510,2,4,2,High,High,-0.401330166270784,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277095126010,5,7,1,CDU.CSU,1,6,1e-5,100,13,1e-5,100,6,1,NA,NA,-0.49966745843230403,0.500332541567696,No deal,5277095126010,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,0.01,0.009950330853168092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277126770010,5,7,1,CDU.CSU,0,3,0,0,17,0,0,3,1,NA,NA,-0.49966745843230403,-0.49966745843230403,40 give 20b,5277126770010,4,2,0.5,Low,Low,1.598669833729216,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277134694195,7,4,1,CDU.CSU,0,12,0,0,19,0,0,12,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 20 bn,5277134694195,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277220330770,3,5,1,No party,0,11,0.01,20,15,0.01,20,11,1,NA,NA,0.500332541567696,-0.49966745843230403,No deal,5277220330770,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277220423065,5,3,1,No party,0,13,0.001,130,10,0.002,130,13,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 20b,5277220423065,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277259925325,6,4,1,SPD,0,3,0.005,50,2,0.01,50,3,1,NA,NA,-0.49966745843230403,-0.49966745843230403,40 give 20b,5277259925325,4,2,0.5,Low,Low,1.598669833729216,-0.4017102137767221,5,1.791759469228055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277477517380,1,1,1,No party,1,15,0.07,100,3,1e-4,120,15,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 40 bn,5277477517380,4,4,1,Low,High,1.598669833729216,1.5982897862232779,70,4.2626798770413155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277606624900,7,5,1,CDU.CSU,1,16,0.001,50,11,0.001,50,16,1,NA,NA,0.500332541567696,0.500332541567696,No deal,5277606624900,0,0,0,High,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277739846140,3,4,1,Greens,0,14,0.01,200,1,0.01,200,14,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 40 bn,5277739846140,2,4,2,Low,High,-0.401330166270784,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5277745172880,2,6,1,CDU.CSU,0,7,0.005,130,13,0.03,130,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5277745172880,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,5,1.791759469228055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278008846510,5,4,1,SPD,0,10,0.015,80,1,0.015,80,10,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 40 bn,5278008846510,4,4,1,High,Low,1.598669833729216,1.5982897862232779,15,2.772588722239781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278134077640,2,5,1,No party,0,12,0.001,130,11,0,130,12,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 20 bn,5278134077640,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278446535770,5,3,0,AFD,1,7,0,100,5,0,100,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5278446535770,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278454499510,5,5,1,CDU.CSU,1,9,0.002,28,19,0.0012,65,9,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 40 bn,5278454499510,2,4,2,High,Low,-0.401330166270784,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278455857565,7,1,0,Left,0,12,0,0,3,0,0,12,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 20 bn,5278455857565,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278529627640,7,7,1,CDU.CSU,0,2,0.02,200,9,0.035,150,2,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 20 bn,5278529627640,2,2,1,Low,Low,-0.401330166270784,-0.4017102137767221,20,3.044522437723423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278540241565,4,4,1,SPD,1,2,0.001,70,18,5e-4,70,2,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 20 bn,5278540241565,2,2,1,Low,Low,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278658801085,7,3,1,CDU.CSU,0,17,0.001,10,14,0.003,30,17,1,NA,NA,0.500332541567696,0.500332541567696,20 give 20 bn,5278658801085,2,2,1,High,High,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278673396880,3,7,1,SPD,0,12,0.001,100,8,0.001,100,12,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 20 bn,5278673396880,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278921235325,5,4,1,No party,0,19,0.002,150,9,0.001,0,19,1,NA,NA,0.500332541567696,0.500332541567696,20 give 40 bn,5278921235325,2,4,2,High,High,-0.401330166270784,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278973922585,7,4,1,Greens,0,6,0.01,30,4,0.05,50,6,1,NA,NA,-0.49966745843230403,0.500332541567696,No deal,5278973922585,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278981939065,7,4,1,SPD,1,13,8e-4,100,3,0.0018,130,13,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 20b,5278981939065,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,0.8,0.5877866649021191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5278983204825,2,4,1,No party,1,4,0.07,150,10,0.07,150,4,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5278983204825,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,70,4.2626798770413155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5279072915565,7,4,1,Greens,0,6,0.003,100,1,0.002,20,6,1,NA,NA,-0.49966745843230403,0.500332541567696,No deal,5279072915565,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,3,1.3862943611198906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5279316798510,5,3,1,No party,1,8,0.02,40,17,0.025,44,8,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 20b,5279316798510,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,20,3.044522437723423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5279579206380,2,5,1,SPD,0,7,0.001,130,19,0.002,130,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5279579206380,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5279720285880,3,7,1,CDU.CSU,0,13,2e-4,130,11,1e-4,100,13,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 20b,5279720285880,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,0.2,0.1823215567939546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5279774318010,6,4,1,Left,0,15,1e-4,70,3,1e-4,100,15,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 40 bn,5279774318010,4,4,1,Low,High,1.598669833729216,1.5982897862232779,0.1,0.09531017980432493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5279899535955,1,1,0,Other,0,6,0,0,18,0,0,6,1,NA,NA,-0.49966745843230403,0.500332541567696,No deal,5279899535955,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280291117270,2,6,1,SPD,0,9,0.003,40,20,0.004,100,9,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 40 bn,5280291117270,2,4,2,High,Low,-0.401330166270784,1.5982897862232779,3,1.3862943611198906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280291196380,1,7,1,CDU.CSU,1,12,0.001,130,4,0.002,130,12,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 20 bn,5280291196380,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280292422585,5,6,1,Greens,1,2,0.001,20,6,0.002,40,2,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 20 bn,5280292422585,2,2,1,Low,Low,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280292501695,1,7,1,FDP,0,5,0.001,35,9,0.001,35,5,1,NA,NA,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5280292501695,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280296444010,7,1,0,Other,0,18,0,200,4,0,200,18,1,NA,NA,0.500332541567696,0.500332541567696,40 give 20b,5280296444010,4,2,0.5,High,High,1.598669833729216,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280503448510,7,2,1,No party,1,8,0.003,150,20,5e-4,20,8,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 20b,5280503448510,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,3,1.3862943611198906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280503474880,3,4,1,Greens,1,8,0.001,50,18,0.001,50,8,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 20b,5280503474880,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280507404010,3,3,1,Greens,1,16,0.002,130,9,0.005,150,16,1,NA,NA,0.500332541567696,0.500332541567696,No deal,5280507404010,0,0,0,High,High,-2.401330166270784,-2.401710213776722,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5280901569585,7,4,1,SPD,0,14,0.007,150,12,0.003,150,14,1,NA,NA,0.500332541567696,-0.49966745843230403,20 give 40 bn,5280901569585,2,4,2,Low,High,-0.401330166270784,1.5982897862232779,7,2.0794415416798357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5281036056585,6,6,1,CDU.CSU,0,8,0.05,150,12,0.02,50,8,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 20b,5281036056585,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,50,3.9318256327243257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5281169211900,4,7,1,SPD,0,13,0.07,70,17,0.05,35,13,1,NA,NA,0.500332541567696,-0.49966745843230403,40 give 20b,5281169211900,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,70,4.2626798770413155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5281223375880,5,3,1,Left,0,4,5e-4,100,18,0.001,130,4,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5281223375880,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,0.5,0.4054651081081644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5281298543565,5,4,1,Left,0,5,0.04,100,13,0.02,200,5,1,NA,NA,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5281298543565,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,40,3.713572066704308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5281423774695,7,1,1,SPD,0,11,0.001,3,6,0.001,2,11,1,NA,NA,0.500332541567696,-0.49966745843230403,No deal,5281423774695,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5281442233695,1,7,1,CDU.CSU,0,11,0.001,15,7,0.001,20,11,1,NA,NA,0.500332541567696,-0.49966745843230403,No deal,5281442233695,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
